Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,30.00,135.00,0.00,0.00,1.1484e-06,1.5591e-06,1.7723e-06,1.1554e-08,1.2012e-06,4.7117e-07,1.1682e-06,1.5586e-06,1.7743e-06,6.7296e-09,1.2079e-06,4.7136e-07
P0,0.00,45.00,30.00,0.00,9.9475e-07,1.3507e-06,1.5353e-06,1.0030e-08,1.0402e-06,4.0800e-07,1.0119e-06,1.3503e-06,1.5370e-06,5.8408e-09,1.0460e-06,4.0815e-07
P0,60.00,90.00,30.00,0.00,9.5018e-07,1.2532e-06,1.4507e-06,9.4756e-09,1.0419e-06,4.3387e-07,9.6709e-07,1.2513e-06,1.4534e-06,6.0370e-09,1.0474e-06,4.3414e-07
P1,0.00,45.00,55.00,0.00,6.6462e-07,8.4928e-07,8.8901e-07,1.3834e-09,6.5819e-07,2.3881e-07,6.7668e-07,8.5456e-07,9.0836e-07,1.0670e-09,6.6209e-07,2.3908e-07
P1,30.00,0.00,45.00,0.00,8.5362e-07,1.1185e-06,1.1825e-06,1.6356e-09,9.0527e-07,3.4231e-07,8.6893e-07,1.1252e-06,1.2075e-06,1.1728e-09,9.1033e-07,3.4273e-07
P1,45.00,180.00,55.00,0.00,7.0208e-07,8.5456e-07,8.8205e-07,2.0108e-09,6.5517e-07,2.3769e-07,7.1508e-07,8.5991e-07,9.0131e-07,1.7188e-09,6.5889e-07,2.3799e-07
P1,60.00,90.00,55.00,0.00,6.9134e-07,8.6959e-07,9.2542e-07,2.2302e-09,7.4065e-07,2.8600e-07,7.0410e-07,8.7418e-07,9.4583e-07,1.9407e-09,7.4471e-07,2.8638e-07
P1,0.00,135.00,55.00,0.00,6.6462e-07,8.4928e-07,8.8901e-07,1.3834e-09,6.5819e-07,2.3881e-07,6.7668e-07,8.5456e-07,9.0836e-07,1.0670e-09,6.6209e-07,2.3908e-07
P1,0.00,180.00,45.00,0.00,8.4537e-07,1.0892e-06,1.1369e-06,1.5777e-09,8.2990e-07,2.9828e-07,8.6059e-07,1.0961e-06,1.1613e-06,1.1448e-09,8.3480e-07,2.9862e-07
P1,30.00,180.00,30.00,0.00,1.0616e-06,1.3532e-06,1.4028e-06,2.0366e-09,1.0101e-06,3.5720e-07,1.0808e-06,1.3621e-06,1.4329e-06,1.4999e-09,1.0161e-06,3.5772e-07
P1,0.00,45.00,60.00,0.00,5.6716e-07,7.1979e-07,7.5489e-07,1.2800e-09,5.6265e-07,2.0443e-07,5.7751e-07,7.2419e-07,7.7154e-07,1.0259e-09,5.6602e-07,2.0472e-07
P1,45.00,90.00,55.00,0.00,6.8309e-07,8.6935e-07,9.1762e-07,1.7353e-09,7.1263e-07,2.6998e-07,6.9556e-07,8.7437e-07,9.3748e-07,1.4192e-09,7.1660e-07,2.7032e-07
P1,60.00,135.00,55.00,0.00,7.0821e-07,8.5357e-07,8.8786e-07,2.4914e-09,6.7807e-07,2.5094e-07,7.2149e-07,8.5852e-07,9.0758e-07,2.2222e-09,6.8182e-07,2.5128e-07
P1,0.00,180.00,0.00,0.00,1.2495e-06,1.6218e-06,1.6835e-06,2.0243e-09,1.1854e-06,4.1222e-07,1.2718e-06,1.6326e-06,1.7195e-06,1.3396e-09,1.1926e-06,4.1278e-07
P1,0.00,90.00,0.00,0.00,1.2495e-06,1.6218e-06,1.6835e-06,2.0243e-09,1.1854e-06,4.1222e-07,1.2718e-06,1.6326e-06,1.7195e-06,1.3396e-09,1.1926e-06,4.1278e-07
P1,0.00,90.00,55.00,0.00,6.6462e-07,8.4928e-07,8.8901e-07,1.3834e-09,6.5819e-07,2.3881e-07,6.7668e-07,8.5456e-07,9.0836e-07,1.0670e-09,6.6209e-07,2.3908e-07
P1,30.00,135.00,45.00,0.00,8.5290e-07,1.0811e-06,1.1238e-06,1.7982e-09,8.2442e-07,2.9682e-07,8.6837e-07,1.0880e-06,1.1480e-06,1.3844e-09,8.2920e-07,2.9717e-07
P1,55.00,135.00,55.00,0.00,7.0287e-07,8.5568e-07,8.8953e-07,2.2355e-09,6.7596e-07,2.4976e-07,7.1595e-07,8.6077e-07,9.0909e-07,1.9535e-09,6.7972e-07,2.5009e-07
P1,30.00,180.00,55.00,0.00,6.8327e-07,8.4857e-07,8.7939e-07,1.6740e-09,6.4712e-07,2.3274e-07,6.9580e-07,8.5395e-07,8.9858e-07,1.3725e-09,6.5090e-07,2.3301e-07
