Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,0.00,45.00,30.00,0.00,5.9785e-07,7.8170e-07,9.3076e-07,7.5111e-09,7.4626e-07,3.4509e-07,6.0833e-07,7.7928e-07,9.3195e-07,4.8877e-09,7.4716e-07,3.4614e-07
P0,60.00,90.00,30.00,0.00,6.9412e-07,9.0633e-07,1.0824e-06,8.4281e-09,9.0934e-07,4.3878e-07,7.0653e-07,9.0339e-07,1.0847e-06,5.8282e-09,9.1101e-07,4.3976e-07
P1,45.00,180.00,55.00,0.00,6.5541e-07,8.2005e-07,8.6698e-07,2.1929e-09,7.7294e-07,3.0241e-07,6.6720e-07,8.2395e-07,8.8053e-07,1.7250e-09,7.7431e-07,3.0356e-07
P1,45.00,90.00,60.00,0.00,5.4415e-07,7.0168e-07,7.5457e-07,1.7712e-09,6.8230e-07,2.6950e-07,5.5386e-07,7.0476e-07,7.6684e-07,1.3883e-09,6.8368e-07,2.7047e-07
P1,30.00,180.00,30.00,0.00,9.3103e-07,1.2021e-06,1.2657e-06,2.3906e-09,1.1053e-06,4.1182e-07,9.4737e-07,1.2081e-06,1.2827e-06,1.5018e-09,1.1063e-06,4.1347e-07
P1,0.00,45.00,60.00,0.00,5.1253e-07,6.6449e-07,7.0965e-07,1.4264e-09,6.3038e-07,2.3995e-07,5.2160e-07,6.6760e-07,7.2057e-07,1.0291e-09,6.3148e-07,2.4075e-07
P1,45.00,90.00,55.00,0.00,6.2209e-07,8.0505e-07,8.6251e-07,1.8934e-09,7.7574e-07,3.0412e-07,6.3313e-07,8.0869e-07,8.7601e-07,1.4253e-09,7.7711e-07,3.0527e-07
P1,0.00,180.00,0.00,0.00,1.0531e-06,1.3777e-06,1.4499e-06,2.4940e-09,1.2529e-06,4.5339e-07,1.0714e-06,1.3846e-06,1.4679e-06,1.3496e-09,1.2537e-06,4.5533e-07
P1,0.00,90.00,0.00,0.00,1.0531e-06,1.3777e-06,1.4499e-06,2.4940e-09,1.2529e-06,4.5339e-07,1.0714e-06,1.3846e-06,1.4679e-06,1.3496e-09,1.2537e-06,4.5533e-07
P1,55.00,135.00,55.00,0.00,6.6195e-07,8.3039e-07,8.8534e-07,2.3999e-09,7.9990e-07,3.1943e-07,6.7391e-07,8.3411e-07,8.9982e-07,1.9608e-09,8.0152e-07,3.2057e-07
